Date,MonthlyPassengerTotal
1/1/2019,"4,914,602"
2/1/2019,"4,588,397"
3/1/2019,"5,451,215"
4/1/2019,"5,321,437"
5/1/2019,"6,041,706"
6/1/2019,"6,385,666"
7/1/2019,"6,732,686"
8/1/2019,"6,455,071"
9/1/2019,"5,958,431"
10/1/2019,"6,073,368"
11/1/2019,"5,304,165"
12/1/2019,"5,788,959"
1/1/2020,"5,198,334"
2/1/2020,"4,908,375"
3/1/2020,"2,923,357"
4/1/2020,"299,098"
5/1/2020,"834,871"
6/1/2020,"1,750,368"
7/1/2020,"2,592,277"
8/1/2020,"2,985,681"
9/1/2020,"2,901,918"
10/1/2020,"3,314,971"
11/1/2020,"2,868,692"
12/1/2020,"3,163,187"
1/1/2021,"2,829,285"
2/1/2021,"2,795,296"
3/1/2021,"3,919,453"
4/1/2021,"4,375,546"
5/1/2021,"5,066,100"
6/1/2021,"5,715,347"
7/1/2021,"6,368,149"
8/1/2021,"5,942,674"
9/1/2021,"5,464,881"
10/1/2021,"5,699,357"
11/1/2021,"5,284,857"
12/1/2021,
